Ticket ID,Issue Type,First Start Date,Start Status,First Done Date,Done Status,Time to Completion (Days),Current Status,Completion Status,,,
CAS-4135,Task,02/13/2026 11:26,In Progress,,,20 days (In Progress),Review,In Progress - Not Done,,,
CAS-2079,Task,,,02/16/2026 18:01,Discarded,,Discarded,Done - No Start Record,,,
CAS-2077,Task,01/28/2026 12:18,In Progress,03/03/2026 12:54,Ready to Deploy,34,On Production,Completed,,,
CAS-1944,Task,01/08/2026 12:29,In Progress,,,56 days (In Progress),Review,In Progress - Not Done,,,
CAS-1774,Task,11/19/2025 11:05,In Progress,12/09/2025 15:36,Ready to Deploy,20,Done,Completed,,,"20,73,48,24,18,34,55,32,28,54,76,2546,48,49,46,29,47,37,40,84,56,9,8,37,94,38,28,29,28,30,67,41,50,34,44,36,25,22,22,55,0,15"
CAS-1564,Task,02/16/2026 09:55,In Progress,,,17 days (In Progress),In Progress,In Progress - Not Done,,,
CAS-1562,Task,,,02/25/2026 11:35,On Production,,Done,Done - No Start Record,,,
CAS-1428,Task,09/05/2025 11:54,In Progress,11/17/2025 11:45,Done,73,Done,Completed,,,
CAS-1287,Task,,,12/03/2025 16:20,On Production,,Done,Done - No Start Record,,,
CAS-1270,Task,08/05/2025 16:59,In Progress,09/22/2025 11:05,Ready to Deploy,48,Done,Completed,,,
CAS-917,Task,05/19/2025 14:56,In Progress,06/12/2025 14:40,Done,24,Done,Completed,,,
CAS-705,Story,04/18/2025 11:21,In Progress,10/15/2025 11:31,Done,180,Done,Completed,,,
CAS-607,Story,04/01/2025 16:08,In Progress,05/05/2025 11:36,Ready to Deploy,34,Done,Completed,,,
CAS-593,Task,,,05/16/2025 14:28,Discarded,,Discarded,Done - No Start Record,,,
CAS-579,Story,04/01/2025 18:10,In Progress,05/26/2025 11:27,Done,55,Done,Completed,,,
CAS-526,Story,02/20/2025 15:06,DEV In Progress,03/24/2025 10:56,READY TO DEPLOY,32,Done,Completed,,,
CAS-366,Story,,,11/07/2025 11:10,Discarded,,Discarded,Done - No Start Record,,,
CAS-364,Story,05/07/2025 11:46,In Progress,06/04/2025 13:22,Ready to Deploy,28,Done,Completed,,,
CAS-363,Story,05/14/2025 14:30,In Progress,07/07/2025 16:37,Ready to Deploy,54,Done,Completed,,,
CAS-362,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-361,Story,,,10/10/2025 16:27,Discarded,,Discarded,Done - No Start Record,,,
CAS-360,Story,,,09/05/2025 11:06,Discarded,,Discarded,Done - No Start Record,,,
CAS-359,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-358,Story,07/30/2025 15:14,In Progress,10/14/2025 15:02,Ready to Deploy,76,Done,Completed,,,
CAS-357,Story,,,09/11/2025 14:36,Discarded,,Discarded,Done - No Start Record,,,
CAS-354,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-353,Story,05/02/2025 09:07,In Progress,05/27/2025 15:41,Ready to Deploy,25,Done,Completed,,,
CAS-341,Story,,,02/16/2026 13:14,Discarded,,Discarded,Done - No Start Record,,,
CAS-340,Story,,,11/04/2025 13:19,Discarded,,Discarded,Done - No Start Record,,,
CAS-339,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-337,Story,02/06/2025 14:57,DEV In Progress,03/24/2025 11:08,READY TO DEPLOY,46,Done,Completed,,,
CAS-336,Story,,,11/04/2025 13:19,Discarded,,Discarded,Done - No Start Record,,,
CAS-335,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-334,Story,,,11/05/2025 17:04,Discarded,,Discarded,Done - No Start Record,,,
CAS-333,Story,04/03/2025 10:53,In Progress,05/21/2025 15:13,Ready to Deploy,48,Done,Completed,,,
CAS-332,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-331,Story,05/20/2025 10:41,In Progress,07/08/2025 10:22,Ready to Deploy,49,Done,Completed,,,
CAS-330,Story,,,02/16/2026 13:15,Discarded,,Discarded,Done - No Start Record,,,
CAS-329,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-328,Story,12/23/2025 17:19,In Progress,,,72 days (In Progress),In Progress,In Progress - Not Done,,,
CAS-327,Story,,,02/16/2026 17:59,Discarded,,Discarded,Done - No Start Record,,,
CAS-326,Story,02/06/2025 10:34,DEV In Progress,03/24/2025 10:53,READY TO DEPLOY,46,Done,Completed,,,
CAS-276,Story,01/14/2025 14:25,Ready for Dev,02/12/2025 17:01,Done,29,Done,Completed,,,
CAS-254,Story,01/03/2025 14:16,Ready for Dev,02/19/2025 11:40,Done,47,Done,Completed,,,
CAS-235,Story,12/04/2024 11:11,Ready for Dev,01/10/2025 10:30,Done,37,Done,Completed,,,
CAS-234,Story,12/05/2024 14:13,Ready for Dev,01/14/2025 15:09,Done,40,Done,Completed,,,
CAS-214,Story,11/21/2024 12:36,Ready for Dev,02/13/2025 14:47,Done,84,Done,Completed,,,
CAS-195,Story,11/21/2024 12:26,Testing,01/16/2025 12:17,Done,56,Done,Completed,,,
CAS-193,Story,11/18/2024 11:45,Ready for Dev,11/27/2024 17:24,Done,9,Done,Completed,,,
CAS-192,Story,11/06/2024 10:55,Ready for Dev,11/14/2024 15:36,Done,8,Done,Completed,,,
CAS-181,Story,10/29/2024 11:55,DEV In Progress,12/05/2024 14:50,Done,37,Done,Completed,,,
CAS-122,Story,02/21/2025 14:13,Ready for Merge,05/26/2025 11:27,Done,94,Done,Completed,,,
CAS-121,Story,10/07/2024 16:36,DEV In Progress,11/14/2024 16:02,Done,38,Done,Completed,,,
CAS-120,Story,10/03/2024 11:09,Ready for Dev,10/31/2024 11:26,Done,28,Done,Completed,,,
CAS-119,Story,10/03/2024 11:09,Ready for Dev,11/01/2024 14:11,Done,29,Done,Completed,,,
CAS-117,Story,10/03/2024 11:09,Ready for Dev,10/31/2024 16:44,Done,28,Done,Completed,,,
CAS-116,Story,10/02/2024 17:17,DEV In Progress,11/01/2024 14:10,Done,30,Done,Completed,,,
CAS-95,Story,09/23/2024 10:18,DEV In Progress,11/29/2024 15:22,Done,67,Done,Completed,,,
CAS-94,Story,09/20/2024 13:05,Ready for Dev,10/31/2024 16:43,Done,41,Done,Completed,,,
CAS-79,Story,09/12/2024 16:14,Ready for Dev,11/01/2024 13:35,Done,50,Done,Completed,,,
CAS-78,Story,09/12/2024 16:30,Ready for Dev,10/16/2024 16:34,Done,34,Done,Completed,,,
CAS-61,Story,09/10/2024 14:49,In Progress,10/24/2024 16:38,Done,44,Done,Completed,,,
CAS-60,Story,09/10/2024 15:12,In Progress,10/16/2024 16:24,Done,36,Done,Completed,,,
CAS-7,Story,08/22/2024 14:28,In Progress,09/16/2024 10:26,Done,25,Done,Completed,,,
CAS-6,Story,08/22/2024 14:28,In Progress,09/13/2024 10:34,Done,22,Done,Completed,,,
CAS-5,Story,08/22/2024 14:28,In Progress,09/13/2024 13:54,Done,22,Done,Completed,,,
CAS-4,Story,08/22/2024 14:28,In Progress,10/16/2024 16:24,Done,55,Done,Completed,,,
CAS-3,Story,08/23/2024 12:44,Ready for Dev,08/23/2024 12:52,Done,0,Done,Completed,,,
CAS-2,Story,08/22/2024 14:20,In Progress,09/06/2024 10:32,Done,15,Done,Completed,,,
,,,,,,,,,,,
,,,,,,,,,,,
Summary Statistics,,,,,,,,,,,
Total Completed:,44,,,,,,,,,,
Min Days:,0,,,,,,,,,,
Max Days:,180,,,,,,,,,,
Avg Days:,43,,,,,,,,,,